Name,Area,Current Year,Crop Year,Crop Type,Tillage Type,Biomass Coefficient Product,Biomass Coefficient Straw,Biomass Coefficient Roots,Biomass Coefficient Extraroot,Nitrogen Content In Product,Nitrogen Content In Straw,Nitrogen Content In Roots,Nitrogen Content In Extraroot,Nitrogen Fixation,Nitrogen Deposit,Carbon Concentration,Yield,Harvest Method,Nitrogen Fertilizer Rate,Phosphorous Fertilizer Rate,Is Irrigated,Irrigation Type,Amount Of Irrigation,Moisture Content Of Crop,Moisture Content Of Crop Percentage,PercentageOfStrawReturnedToSoil,PercentageOfRootsReturnedToSoil,PercentageOfProductYieldReturnedToSoil,Is Pesticide Used,Number Of Pesticide Passes,Fuel Energy,Herbicide Energy,Fertilizer Blend,January Precipitation,February Precipitation,March Precipitation,April Precipitation,May Precipitation,June Precipitation,July Precipitation,August Precipitation,September Precipitation,October Precipitation,November Precipitation,December Precipitation,January Potential Evapotranspiration,February Potential Evapotranspiration,March Potential Evapotranspiration,April Potential Evapotranspiration,May Potential Evapotranspiration,June Potential Evapotranspiration,July Potential Evapotranspiration,August Potential Evapotranspiration,September Potential Evapotranspiration,October Potential Evapotranspiration,November Potential Evapotranspiration,December Potential Evapotranspiration,January Mean Temperature,February Mean Temperature,March Mean Temperature,April Mean Temperature,May Mean Temperature,June Mean Temperature,July Mean Temperature,August Mean Temperature,September Mean Temperature,October Mean Temperature,November Mean Temperature,December Mean Temperature,Province,Soil Great Group,Soil functional category,Bulk Density,Soil Texture,Soil Ph,Top Layer Thickness  (mm),Proportion Of Sand In Soil,Proportion Of Clay In Soil,Proportion Of Soil Organic Carbon,Change in soil carbon (delta_C_t) (kg C ha^-1),N2O Direct (kg N2O (ha)^-1),N2O Direct (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),N2O Indirect (kg N2O (ha)^-1),N2O Indirect (Excluding Any Manure Not Applied) (kg N2O (ha)^-1),Energy CO2 (kg),Upstream CO2 (kg),Total_GHG
Farm1,24.393,2025,2022,OtherFieldCrops,Reduced,0,0,0,0,0.03325,0.00975,0.01,0.01,0,5,0.45,323,CashCrop,0,0,No,RainFed,0,0.1,10,100,100,2,No,0,1.78,0.23,Custom,138.73,76.62,92.42,86.41,98.25,116.06,51.29,47.99,16.04,86.46,122.68,174.48,0.1261,0.0085,0.5128,7.3283,36.4371,78.7478,126.6484,111.0681,70.1096,40.2196,0.0407,0.0076,-4.1487,-5.4236,-2.0835,-0.9827,4.1045,9.8367,14.6726,15.9923,11.688,8.0852,-6.176,-9.5926,BritishColumbia,EutricBrunisol,Brown,1.12,Medium,5.1999998,200,0.09,0.31,35,-27.3727,0.0565,0.0565,0.0431,0.0431,3039.3678,0,252.1573667
Farm1,64.06,2025,2022,OtherFieldCrops,Reduced,0,0,0,0,0.03325,0.00975,0.01,0.01,0,5,0.45,5400000,CashCrop,0,0,No,RainFed,0,0.1,10,100,100,2,No,0,1.78,0.23,Custom,138.73,76.62,92.42,86.41,98.25,116.06,51.29,47.99,16.04,86.46,122.68,174.48,0.1261,0.0085,0.5128,7.3283,36.4371,78.7478,126.6484,111.0681,70.1096,40.2196,0.0407,0.0076,-4.1487,-5.4236,-2.0835,-0.9827,4.1045,9.8367,14.6726,15.9923,11.688,8.0852,-6.176,-9.5926,BritishColumbia,EutricBrunisol,Brown,1.12,Medium,5.1999998,200,0.09,0.31,35,26484.8804,11.8496,11.8496,7.9344,7.9344,7981.876,0,-91585.59613
Farm1,64.06,2025,2024,OtherFieldCrops,Reduced,0,0,0,0,0.03325,0.00975,0.01,0.01,0,5,0.45,22,CashCrop,0,0,No,RainFed,0,0.1,10,100,100,2,No,0,1.78,0.23,Custom,138.73,76.62,92.42,86.41,98.25,116.06,51.29,47.99,16.04,86.46,122.68,174.48,0.1261,0.0085,0.5128,7.3283,36.4371,78.7478,126.6484,111.0681,70.1096,40.2196,0.0407,0.0076,-4.1487,-5.4236,-2.0835,-0.9827,4.1045,9.8367,14.6726,15.9923,11.688,8.0852,-6.176,-9.5926,BritishColumbia,EutricBrunisol,Brown,1.12,Medium,5.1999998,200,0.09,0.31,35,-39054.862,42.684,42.684,13.3491,13.3491,7981.876,0,158622.797
Farm1,64.06,2025,2022,TameLegume,Reduced,0.571,0,0.26,0.169,0.015,0.015,0.015,0.015,0,5,0.45,540000000,CashCrop,0,0,No,RainFed,0,0.13,13,0,100,35,No,0,1.78,0.23,Custom,138.73,76.62,92.42,86.41,98.25,116.06,51.29,47.99,16.04,86.46,122.68,174.48,0.1261,0.0085,0.5128,7.3283,36.4371,78.7478,126.6484,111.0681,70.1096,40.2196,0.0407,0.0076,-4.1487,-5.4236,-2.0835,-0.9827,4.1045,9.8367,14.6726,15.9923,11.688,8.0852,-6.176,-9.5926,BritishColumbia,EutricBrunisol,Brown,1.12,Medium,5.1999998,200,0.09,0.31,35,397607577.7,0.9627,0.9627,2.0877,2.0877,7981.876,0,-1457893494
Farm2,32.73,2025,2022,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,11339.8,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,2.39,0.23,Custom,120.72,68.92,80.07,52.91,95.03,140.78,50.58,57.61,14.93,60.18,83.74,108.81,0.0399,0,1.7172,10.0124,45.7327,87.2671,137.8123,114.6656,71.2932,38.5306,0,0.0134,-7.9581,-7.4832,-2.1752,-0.248,5.47,11.8903,17.7581,18.2419,13.19,7.6987,-8.754,-13.1474,BritishColumbia,Regosol,Black,0.2,Coarse,6.0999999,20,-0.09,-0.09,242.000008,0,0.0498,0.0498,0.0358,0.0358,5475.729,0,190.6688
Farm3,1.902,2025,2022,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,500,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,161.85,48.39,89.89,99.78,93.9,85.62,48.16,31.93,36.31,76.19,86.08,134.43,0.0064,0,0,0,8.2286,60.3153,103.1509,98.8171,61.7157,34.5138,0,0,-6.2913,-7.7321,-4.5045,-5.0167,-0.2329,7.3027,13.2677,14.4529,9.9137,6.25,-8.1003,-11.6874,BritishColumbia,Gleysol,Brown,1.15,Medium,5.1999998,60,0.25,0.15,35,0,0.0324,0.0324,0.0359,0.0359,236.9892,0,143.2459
Farm4,0.250838451,2025,2022,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,13.2,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,106.12,48.94,77.62,87.62,85.73,59.83,36.44,17.37,10.29,67.59,77.13,122.48,10.0357,14.656,35.6491,49.6353,73.9397,102.7047,139.8711,130.6162,88.422,53.539,14.8114,6.8928,3.4835,3.8911,6.371,6.6683,10.041,14.7093,19.2003,20.5235,16.678,13.0119,4.3467,2.1119,BritishColumbia,DystricBrunisol,Brown,0.11,Medium,4.9000001,20,-0.09,-0.09,344.000015,0,0.0287,0.0287,0.0208,0.0208,31.2545,0,138.1136156
Farm5,0.0035,2025,2025,Vegetables,Reduced,0,0,0,0,0.02,0.02,0.01,0.01,0,5,0.45,94.92,CashCrop,0,0,No,RainFed,0,0.8,80,100,100,2,No,0,1.78,0.23,Custom,70.81,185.76,258.47,106.58,97.72,69.99,50.39,106.53,-2967.78,0,0,0,0.1703,2.5488,9.4539,45.7892,71.5699,96.5844,120.3011,103.9959,42.5135,0,0,0,-2.7839,-3.8896,1.4984,5.0233,8.4719,12.046,14.809,17.1855,-143.59,0,0,0,BritishColumbia,MelanicBrunisol,Brown,1,Medium,5.0999999,170,0.05,0.24,54.000001,0,0.003,0.003,0.0141,0.0141,0.4361,0,129.2683
Farm6,461.452,2025,2024,GrainCorn,Reduced,0.386,0.387,0.138,0.089,0.015,0.005,0.007,0.007,0,5,0.45,913674.96,CashCrop,0,0,No,RainFed,0,0.15,15,100,100,2,No,0,1.78,0.23,Custom,367.06,170.21,177.95,136.13,111.52,116.47,30.34,117.44,108.2,311.49,280.47,314.62,4.4195,6.2474,20.7135,42.4848,77.2249,92.5367,141.984,100.2646,64.4383,26.6927,5.2754,3.8482,-1.0865,1.1393,2.3668,5.2073,9.72,12.2987,18.0584,16.8406,13.099,6.8961,1.433,1.439,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-319848.1327,4.2094,4.2094,0.3859,0.3859,57496.9192,0,1174155.603
Farm6,461.452,2025,2025,GrainCorn,Reduced,0.386,0.387,0.138,0.089,0.015,0.005,0.007,0.007,0,5,0.45,913674.96,CashCrop,0,0,No,RainFed,0,0.15,15,100,100,2,No,0,1.78,0.23,Custom,367.06,170.21,177.95,136.13,111.52,116.47,30.34,117.44,108.2,311.49,280.47,314.62,4.4195,6.2474,20.7135,42.4848,77.2249,92.5367,141.984,100.2646,64.4383,26.6927,5.2754,3.8482,-1.0865,1.1393,2.3668,5.2073,9.72,12.2987,18.0584,16.8406,13.099,6.8961,1.433,1.439,BritishColumbia,HumoFerricPodzol,Brown,0.8,Medium,4.6999998,150,0.65,0.04,25,-123930.4761,-321.3707,-321.3707,-11.6207,-11.6207,57496.9192,0,363629.6935
